	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	35703602	2020-09-29	0.1091	2967683398
1	Blackrock Inc.	25067919	2020-09-29	0.0766	2083645427
2	Price (T.Rowe) Associates Inc	23958458	2020-09-29	0.0732	1991427028
3	State Street Corporation	14064126	2020-09-29	0.043	1169010153
4	Bank of America Corporation	12165969	2020-09-29	0.037200000000000004	1011235343
5	Wellington Management Company, LLP	6737274	2020-09-29	0.0206	560002214
6	JP Morgan Chase & Company	6390722	2020-09-29	0.0195	531196812
7	Jackson Square Partners, LLC	5688979	2020-09-29	0.0174	472867934
8	Morgan Stanley	5610926	2020-09-29	0.0172	466380169
9	Geode Capital Management, LLC	5114629	2020-09-29	0.015600000000000001	425127962
