	Name	Shares	Date Reported
0	FLANAGAN MARTIN L	450305	2017-08-21
1	KELLEY KAREN DUNN	718804	2016-12-13
2	CAROME KEVIN M	490859	2017-02-27
3	STARR LOREN M	455223	2017-07-08
4	MCGREEVEY GREGORY	382048	2017-12-14
5	LO ANDREW TAK SHING	324027	2017-02-27
6	SCHLOSSBERG ANDREW	175842	2017-12-14
7	MEADOWS COLIN	164420	2017-10-30
8	TAYLOR PHILIP	151357	2017-12-14
9	ELLIS RODERICK G.H.	84064	2017-02-27
