	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	60418557	2020-09-29	0.0782	4890882189
1	FMR, LLC	55102564	2020-09-29	0.0713	4460552555
2	Blackrock Inc.	54696365	2020-09-29	0.0708	4427670746
3	State Street Corporation	34467491	2020-09-29	0.0446	2790143396
4	Capital International Investors	32578869	2020-09-29	0.042199999999999994	2637259445
5	Capital World Investors	32211831	2020-09-29	0.0417	2607547719
6	Geode Capital Management, LLC	11839478	2020-09-29	0.015300000000000001	958405744
7	Invesco Ltd.	11466952	2020-09-29	0.0148	928249764
8	Ameriprise Financial, Inc.	10299078	2020-09-29	0.013300000000000001	833710364
9	Northern Trust Corporation	9626578	2020-09-29	0.0125	779271489
