	Holder	Shares	Date Reported	% Out	Value
0	Alibaba Group Holding Ltd	9000000	2020-06-29	0.073	302400000
1	Invesco Ltd.	8252589	2020-06-29	0.067	277286990
2	Schroder Investment Management Group	6367525	2020-06-29	0.051699999999999996	213948840
3	Wells Fargo & Company	3443600	2020-06-29	0.0279	115704960
4	Blackrock Inc.	2414112	2020-06-29	0.0196	81114163
5	Citigroup Inc.	2250930	2020-06-29	0.0183	75631248
6	ARGA Investment Management, LP	2063802	2020-06-29	0.0167	69343747
7	Vanguard Group, Inc. (The)	1967475	2020-06-29	0.016	66107160
8	Goldman Sachs Group, Inc.	1744217	2020-06-29	0.014199999999999999	58605691
9	Perseverance Asset Management International	1465403	2020-06-29	0.011899999999999999	49237540
