	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19607382	2020-06-29	0.0888	4734398457
1	Blackrock Inc.	15778243	2020-06-29	0.07139999999999999	3809814554
2	State Farm Mutual Automobile Insurance Co	14016300	2020-06-29	0.0635	3384375798
3	State Street Corporation	10049312	2020-06-29	0.0455	2426506875
4	Bank of America Corporation	9581433	2020-06-29	0.0434	2313532812
5	JP Morgan Chase & Company	6092944	2020-06-29	0.0276	1471202258
6	Capital International Investors	5659830	2020-06-29	0.0256	1366622551
7	Franklin Resources, Inc.	5255559	2020-06-29	0.023799999999999998	1269007276
8	Wells Fargo & Company	4286144	2020-06-29	0.0194	1034932330
9	Capital World Investors	3704331	2020-06-29	0.0168	894447763
