	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	31536018	2020-06-29	0.0797	11426760762
1	Blackrock Inc.	28955941	2020-06-29	0.0732	10491895661
2	Capital World Investors	16571467	2020-06-29	0.04190000000000001	6004505352
3	State Street Corporation	16562306	2020-06-29	0.04190000000000001	6001185956
4	Price (T.Rowe) Associates Inc	14603221	2020-06-29	0.0369	5291331097
5	Massachusetts Financial Services Co.	14153875	2020-06-29	0.0358	5128515067
6	Capital Research Global Investors	11662349	2020-06-29	0.029500000000000002	4225735536
7	FMR, LLC	11621011	2020-06-29	0.0294	4210757125
8	Wellington Management Company, LLP	7746571	2020-06-29	0.0196	2806892536
9	Morgan Stanley	7663310	2020-06-29	0.0194	2776723745
