	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	150038837	2020-06-29	0.19469999999999998	13718050866
1	Blackrock Inc.	134745433	2020-06-29	0.17489999999999997	12319774939
2	Capital Research Global Investors	87417734	2020-06-29	0.11349999999999999	7992603419
3	State Street Corporation	74556021	2020-06-29	0.0968	6816657000
4	Capital International Investors	56714070	2020-06-29	0.0736	5185367420
5	Wellington Management Company, LLP	35926910	2020-06-29	0.0466	3284797381
6	Northern Trust Corporation	27034512	2020-06-29	0.0351	2471765432
7	Geode Capital Management, LLC	25238694	2020-06-29	0.032799999999999996	2307573792
8	Bank of America Corporation	25094120	2020-06-29	0.0326	2294355391
9	Morgan Stanley	24802589	2020-06-29	0.0322	2267700712
