	0	1
Earnings Date	2020-10-28 00:00:00	2020-11-02 00:00:00
Earnings Average	0.98	0.98
Earnings Low	0.81	0.81
Earnings High	1.08	1.08
Revenue Average	3279610000	3279610000
Revenue Low	3212190000	3212190000
Revenue High	3342200000	3342200000
