	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	3419863	2020-06-29	0.0548	458193244
1	Blackrock Inc.	1506784	2020-06-29	0.0241	201878920
2	Discovery Value Fund	818283	2020-06-29	0.0131	109633556
3	JP Morgan Chase & Company	695443	2020-06-29	0.0111	93175453
4	Susquehanna International Group, LLP	624998	2020-06-29	0.01	83737232
5	Lord Abbett & Co	605661	2020-06-29	0.0097	81146460
6	Robeco Institutional Asset Management B V	600000	2020-06-29	0.0096	80388000
7	State Street Corporation	542030	2020-06-29	0.0087	72621179
8	Citadel Advisors LLC	531430	2020-06-29	0.0085	71200991
9	FMR, LLC	497755	2020-06-29	0.008	66689214
