	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	38917680	2020-06-29	0.057999999999999996	2205075748
1	Wellington Management Company, LLP	38163821	2020-06-29	0.056900000000000006	2162362097
2	Capital World Investors	24582382	2020-06-29	0.0366	1392837764
3	Blackrock Inc.	20636414	2020-06-29	0.0308	1169259217
4	Morgan Stanley	18495551	2020-06-29	0.0276	1047957919
5	Janus Henderson Group PLC	17301154	2020-06-29	0.0258	980283385
6	Capital International Investors	16696256	2020-06-29	0.024900000000000002	946009864
7	ClearBridge Investments, LLC	11053029	2020-06-29	0.0165	626264623
8	Royal Bank of Canada	9889513	2020-06-29	0.0147	560339806
9	Bank of America Corporation	8752015	2020-06-29	0.013000000000000001	495889169
