	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	39545776	2020-06-29	0.0824	17214671750
1	Blackrock Inc.	38069522	2020-06-29	0.0794	16572043621
2	FMR, LLC	32777833	2020-06-29	0.0683	14268518483
3	State Street Corporation	20071252	2020-06-29	0.0418	8737216708
4	Primecap Management Company	11002288	2020-06-29	0.0229	4789405989
5	Bank Of New York Mellon Corporation	8672342	2020-06-29	0.0181	3775157196
6	Geode Capital Management, LLC	7991017	2020-06-29	0.0167	3478569610
7	Janus Henderson Group PLC	7145975	2020-06-29	0.0149	3110714377
8	Jennison Associates LLC	6994206	2020-06-29	0.0146	3044647813
9	Massachusetts Financial Services Co.	6212543	2020-06-29	0.013000000000000001	2704382093
