	0	1
Earnings Date	2020-12-10 00:00:00	2020-12-14 00:00:00
Earnings Average	1	1
Earnings Low	0.98	0.98
Earnings High	1.02	1.02
Revenue Average	9798250000	9798250000
Revenue Low	9708000000	9708000000
Revenue High	9865780000	9865780000
