	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	44599949	2020-09-29	0.0873	3586727898
1	Vanguard Group, Inc. (The)	39395678	2020-09-29	0.0771	3168200424
2	Wellington Management Company, LLP	28745014	2020-09-29	0.056299999999999996	2311674025
3	Morgan Stanley	23824224	2020-09-29	0.0466	1915944094
4	State Street Corporation	22217616	2020-09-29	0.0435	1786740678
5	Capital International Investors	11957557	2020-09-29	0.023399999999999997	961626733
6	Generation Investment Management LLP	11857911	2020-09-29	0.0232	953613202
7	Veritas Asset Management LLP	10953932	2020-09-29	0.021400000000000002	880915211
8	Ameriprise Financial, Inc.	8647450	2020-09-29	0.0169	695427929
9	Northern Trust Corporation	8168239	2020-09-29	0.016	656889780
