	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	4518690	2020-06-29	0.1189	1484254104
1	Vanguard Group, Inc. (The)	3833925	2020-06-29	0.1009	1259329344
2	BAMCO Inc.	2763901	2020-06-29	0.0727	907858561
3	Loomis Sayles & Company, LP	2703592	2020-06-29	0.0712	888048864
4	Wells Fargo & Company	1823246	2020-06-29	0.048	598881613
5	Kayne Anderson Rudnick Investment Management LLC	1617050	2020-06-29	0.0426	531152413
6	State Street Corporation	1481071	2020-06-29	0.039	486487391
7	Morgan Stanley	1462393	2020-06-29	0.0385	480352228
8	Ninety One UK Ltd	844980	2020-06-29	0.0222	277550580
9	Bank of America Corporation	816817	2020-06-29	0.0215	268299879
