	0	1
Earnings Date	2020-12-17 00:00:00	2020-12-21 00:00:00
Earnings Average	2.71	2.71
Earnings Low	2.62	2.62
Earnings High	2.83	2.83
Revenue Average	384720000	384720000
Revenue Low	370900000	370900000
Revenue High	388200000	388200000
