	Holder	Shares	Date Reported	% Out	Value
0	Primecap Management Company	15631932	2020-06-29	0.0987	4182323406
1	Blackrock Inc.	14599456	2020-06-29	0.0922	3906084452
2	Vanguard Group, Inc. (The)	12876107	2020-06-29	0.08130000000000001	3445002427
3	State Street Corporation	7836873	2020-06-29	0.0495	2096755371
4	Wellington Management Company, LLP	4773760	2020-06-29	0.0302	1277219488
5	ClearBridge Investments, LLC	4080646	2020-06-29	0.0258	1091776837
6	Renaissance Technologies, LLC	3905922	2020-06-29	0.024700000000000003	1045029431
7	Geode Capital Management, LLC	3039406	2020-06-29	0.0192	813193075
8	Northern Trust Corporation	2437636	2020-06-29	0.0154	652189511
9	Norges Bank Investment Management	2413625	2019-12-30	0.0152	716194946
