	Holder	Shares	Date Reported	% Out	Value
0	Brookfield Asset Management Inc.	45832944	2020-06-29	0.2503	1756318414
1	FIL LTD	11762551	2020-06-29	0.0642	450740954
2	Royal Bank of Canada	4563776	2020-06-29	0.024900000000000002	174883896
3	Bank of Montreal/Can/	4346185	2020-06-29	0.023700000000000002	166545809
4	CIBC Asset Management Inc.	3138145	2020-06-29	0.0171	120253716
5	Manufacturers Life Insurance Co.	2851319	2020-06-29	0.015600000000000001	109262544
6	TD Asset Management, Inc	2762159	2020-06-29	0.0151	105845932
7	Principal Financial Group, Inc.	2363772	2020-06-29	0.0129	90579743
8	Toronto Dominion Bank	1635065	2020-06-29	0.0089	62655690
9	Scotia Capital Inc.	1596915	2020-06-29	0.0087	61193782
