	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	40696538	2020-06-29	0.1143	3468972899
1	Vanguard Group, Inc. (The)	30225163	2020-06-29	0.0849	2576392894
2	Blackrock Inc.	28207202	2020-06-29	0.07919999999999999	2404381898
3	FMR, LLC	15839516	2020-06-29	0.044500000000000005	1350160343
4	State Street Corporation	15510854	2020-06-29	0.0436	1322145194
5	Primecap Management Company	10894879	2020-06-29	0.030600000000000002	928679485
6	Franklin Resources, Inc.	7420485	2020-06-29	0.0208	632522141
7	JP Morgan Chase & Company	7132825	2020-06-29	0.02	608002003
8	Bank of America Corporation	6673305	2020-06-29	0.0187	568832518
9	Geode Capital Management, LLC	5220939	2020-06-29	0.0147	445032840
