	0	1
Earnings Date	2020-10-19 00:00:00	2020-10-23 00:00:00
Earnings Average	0.92	0.92
Earnings Low	0.72	0.72
Earnings High	1.09	1.09
Revenue Average	1428200000	1428200000
Revenue Low	1278600000	1278600000
Revenue High	1537280000	1537280000
