Date	Firm	To Grade	From Grade	Action
2016-12-08	Keefe Bruyette & Woods	Market Perform		init
2017-01-05	Nomura	Buy	Neutral	up
2017-02-03	Credit Suisse	Outperform	Neutral	up
2017-05-15	Wells Fargo	Outperform	Market Perform	up
2017-07-13	Rosenblatt	Buy		init
2017-07-13	Nomura	Buy		main
2017-07-25	Morgan Stanley	Equal-Weight		main
2017-10-05	Morgan Stanley	Equal-Weight		main
2017-10-09	Bank of America	Neutral	Buy	down
2017-10-23	Morgan Stanley	Equal-Weight		main
2017-10-25	Deutsche Bank	Hold		main
2017-10-25	Bank of America	Neutral		main
2017-11-13	Deutsche Bank	Buy	Hold	up
2017-12-01	Credit Suisse	Underperform		init
2018-01-08	Barclays	Overweight	Equal-Weight	up
2018-01-24	Citigroup	Neutral	Neutral	main
2018-01-24	Barclays	Overweight	Overweight	main
2018-01-24	Nomura	Buy	Buy	main
2018-01-30	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-03-06	Keefe Bruyette & Woods	Outperform	Market Perform	up
2018-03-06	Deutsche Bank	Buy	Buy	main
2018-04-10	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-04-10	Bernstein	Outperform		init
2018-04-25	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-04-25	Credit Suisse	Underperform	Underperform	main
2018-06-05	Compass Point	Buy		init
2018-07-12	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-07-12	Barclays	Overweight	Overweight	main
2018-07-13	Raymond James	Outperform	Outperform	main
2018-07-24	Citigroup	Neutral	Neutral	main
2018-07-25	Credit Suisse	Neutral	Underperform	up
2018-07-25	Barclays	Overweight	Overweight	main
2018-07-25	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-07-25	Bank of America	Buy	Buy	main
2018-09-26	Bank of America	Buy	Buy	main
2018-10-08	UBS	Neutral	Neutral	main
2018-10-09	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-10-24	Credit Suisse	Neutral	Neutral	main
2018-10-24	Barclays	Overweight	Overweight	main
2018-10-24	Citigroup	Neutral	Neutral	main
2018-10-30	Credit Suisse	Neutral	Neutral	main
2018-11-14	Morgan Stanley	Overweight	Equal-Weight	up
2018-11-19	UBS	Buy	Neutral	up
2018-11-30	Goldman Sachs	Neutral		init
2019-01-04	Morgan Stanley	Overweight	Overweight	main
2019-01-04	Wells Fargo	Outperform	Outperform	main
2019-03-18	Barclays	Overweight	Overweight	main
2019-04-11	Barclays	Overweight	Overweight	main
2019-06-24	UBS	Buy		main
2019-07-09	Citigroup	Neutral		main
2019-07-11	Morgan Stanley	Equal-Weight	Overweight	down
2019-07-23	Barclays	Overweight		main
2019-07-23	Credit Suisse	Neutral		main
2019-07-24	Morgan Stanley	Equal-Weight		main
2019-08-09	Deutsche Bank	Hold	Buy	down
2019-08-21	Deutsche Bank	Hold		main
2019-09-19	Citigroup	Neutral		main
2019-10-01	Credit Suisse	Neutral		main
2019-10-02	Bank of America	Underperform	Buy	down
2019-10-02	Deutsche Bank	Hold		main
2019-10-02	UBS	Buy		main
2019-10-02	Barclays	Underweight	Overweight	down
2019-10-03	Wells Fargo	Underperform	Outperform	down
2019-10-07	UBS	Neutral	Buy	down
2019-10-14	Citi	Sell	Neutral	down
2019-10-23	UBS	Neutral		main
2019-10-23	Deutsche Bank	Hold		main
2019-10-25	Morgan Stanley	Equal-Weight		main
2019-11-18	Morgan Stanley	Equal-Weight		main
2019-11-26	Wells Fargo	Market Perform	Underperform	up
2019-11-26	Citi	Neutral	Sell	up
2019-11-27	Barclays	Equal-Weight	Underweight	up
2019-12-09	Raymond James	Market Perform	Outperform	down
2020-01-06	Wolfe Research	Outperform	Peer Perform	up
2020-01-09	Wells Fargo	Equal-Weight		main
2020-01-28	Deutsche Bank	Hold		main
2020-02-05	Citigroup	Neutral		main
2020-03-05	Deutsche Bank	Hold		main
2020-03-13	Morgan Stanley	Equal-Weight		main
2020-03-18	Deutsche Bank	Hold		main
2020-03-25	Citigroup	Buy	Neutral	up
2020-04-06	Wells Fargo	Equal-Weight		main
2020-04-08	Keefe, Bruyette & Woods	Market Perform	Outperform	down
2020-04-09	Deutsche Bank	Hold		main
2020-04-23	Piper Sandler	Overweight		main
2020-04-27	Citigroup	Neutral	Buy	down
2020-04-29	Morgan Stanley	Equal-Weight		main
2020-05-15	Deutsche Bank	Hold		main
2020-05-20	Compass Point	Neutral	Buy	down
2020-07-01	Morgan Stanley	Equal-Weight		main
2020-07-09	Wolfe Research	Peer Perform	Underperform	up
2020-07-09	Deutsche Bank	Hold		main
2020-07-10	Wells Fargo	Equal-Weight		main
2020-07-22	Deutsche Bank	Hold		main
2020-07-22	Citigroup	Neutral		main
2020-07-24	Morgan Stanley	Equal-Weight		main
