	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	23311638	2020-06-29	0.1336	107233534
1	Vanguard Group, Inc. (The)	14904994	2020-06-29	0.08539999999999999	68562972
2	Blackrock Inc.	14443396	2020-06-29	0.0828	66439621
3	Redmile Group, LLC	12006979	2020-06-29	0.0688	55232103
4	Renaissance Technologies, LLC	9665139	2020-06-29	0.0554	44459639
5	State Street Corporation	9183306	2020-06-29	0.0526	42243207
6	ClearBridge Investments, LLC	7742804	2020-06-29	0.0444	35616898
7	Millennium Management LLC	3985994	2020-06-29	0.022799999999999997	18335572
8	Geode Capital Management, LLC	2795189	2020-06-29	0.016	12857869
9	Shaw D.E. & Co., Inc.	2562656	2020-06-29	0.0147	11788217
