	0	1
Earnings Date	2020-11-11 00:00:00	2020-11-16 00:00:00
Earnings Average	0.04	0.04
Earnings Low	-0.08	-0.08
Earnings High	0.14	0.14
Revenue Average	778000000	778000000
Revenue Low	647290000	647290000
Revenue High	915850000	915850000
