	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	6476729	2020-06-29	0.0574	1002986252
1	Dodge & Cox Inc	6125920	2020-06-29	0.054299999999999994	948659971
2	Vanguard Group, Inc. (The)	4987643	2020-06-29	0.044199999999999996	772386394
3	ClearBridge Investments, LLC	4190394	2020-06-29	0.0371	648924414
4	Swedbank	3358720	2020-06-29	0.0297	520131379
5	Capital World Investors	2763264	2020-06-29	0.0245	427919063
6	Ubs Asset Management Americas Inc	2714014	2020-06-29	0.024	420292208
7	Bank of America Corporation	2322518	2020-06-29	0.0206	359665137
8	Nordea Investment Management Ab	2288184	2020-06-29	0.0203	354348174
9	Price (T.Rowe) Associates Inc	2028089	2020-06-29	0.018000000000000002	314069862
