	Holder	Shares	Date Reported	% Out	Value
0	Hillhouse Capital Advisors Ltd.	46694629	2020-06-29	0.0207	1082848446
1	Credit Suisse Ag/	19405868	2020-06-29	0.0086	450022078
2	Morgan Stanley	17664812	2020-06-29	0.0078000000000000005	409646990
3	Schroder Investment Management Group	11063725	2020-06-29	0.0049	256567782
4	Blackrock Inc.	10924340	2020-06-29	0.0048	253335444
5	Bank of America Corporation	9277665	2020-06-29	0.0040999999999999995	215149051
6	Vanguard Group, Inc. (The)	8064794	2020-06-29	0.0036	187022572
7	Goldman Sachs Group, Inc.	6802196	2020-06-29	0.003	157742925
8	JP Morgan Chase & Company	6282587	2020-06-29	0.0028000000000000004	145693192
9	State Street Corporation	4157344	2020-06-29	0.0018	96408807
