	Holder	Shares	Date Reported	% Out	Value
0	Capital International Ltd /ca/	4961260	2020-06-29	0.037200000000000004	136831550
1	Capital International Investors	4167563	2020-06-29	0.031200000000000002	114941387
2	Schroder Investment Management Group	4048392	2020-06-29	0.0304	111654651
3	Blackrock Inc.	3515566	2020-06-29	0.0264	96959310
4	M&G Investment Management Ltd	3462875	2020-06-29	0.026000000000000002	95506092
5	Wellington Management Company, LLP	2748909	2020-06-29	0.0206	75814910
6	Sands Capital Management, Inc.	2501976	2020-06-29	0.018799999999999997	69004498
7	Allianz Asset Management GmbH	1503042	2020-06-29	0.0113	41453898
8	Zeal Asset Management Ltd	1487970	2020-06-29	0.011200000000000002	41038212
9	JP Morgan Chase & Company	1317832	2020-06-29	0.009899999999999999	36345806
