	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	28461445	2020-06-29	0.11199999999999999	469613842
1	Blackrock Inc.	17318376	2020-06-29	0.0681	285753204
2	Glenview Capital Management, LLC	11988030	2020-06-29	0.0472	197802495
3	Harris Associates L.P.	10634180	2020-06-29	0.0418	175463970
4	State Street Corporation	8775839	2020-06-29	0.0345	144801343
5	FMR, LLC	8064105	2020-06-29	0.0317	133057732
6	ClearBridge Investments, LLC	6306548	2020-06-29	0.0248	104058042
7	Russell Investments Group, Ltd.	5399362	2020-06-29	0.0212	89089473
8	Victory Capital Management Inc.	4775528	2020-06-29	0.018799999999999997	78796212
9	Invesco Ltd.	4647918	2020-06-29	0.0183	76690647
