	0	1
Earnings Date	2020-11-09 00:00:00	2020-11-13 00:00:00
Earnings Average	0.37	0.37
Earnings Low	0.33	0.33
Earnings High	0.46	0.46
Revenue Average	4447980000	4447980000
Revenue Low	4432000000	4432000000
Revenue High	4471000000	4471000000
