	Holder	Shares	Date Reported	% Out	Value
0	Dimensional Fund Advisors LP	6596021	2020-06-29	0.0092	31858781
1	Morgan Stanley	3499115	2020-06-29	0.0049	16900725
2	Parametric Portfolio Associates	2803783	2020-06-29	0.0039000000000000003	13542271
3	Millennium Management LLC	1585096	2020-06-29	0.0022	7656013
4	Arrowstreet Capital, Limited Partnership	1089161	2020-06-29	0.0015	5260647
5	Marshall Wace LLP	601709	2020-06-29	0.0008	2906254
6	State Street Corporation	499632	2020-06-29	0.0007000000000000001	2413222
7	Barclays PLC	453650	2020-06-29	0.0006	2191129
8	Northern Trust Corporation	360027	2020-06-29	0.0005	1738930
9	SG Americas Securities, LLC	240195	2020-06-29	0.0003	1160141
