	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	45879978	2020-06-29	0.115	984125528
1	Vanguard Group, Inc. (The)	37125269	2020-06-29	0.0931	796337020
2	Primecap Management Company	34226255	2020-06-29	0.0858	734153169
3	Janus Henderson Group PLC	33432143	2020-06-29	0.08380000000000001	717119467
4	Blackrock Inc.	25685745	2020-06-29	0.0644	550959230
5	Wellington Management Company, LLP	24978329	2020-06-29	0.0626	535785157
6	Aristotle Capital Management, LLC	24009419	2020-06-29	0.0602	515002037
7	State Street Corporation	14766208	2020-06-29	0.037000000000000005	316735161
8	UBS Group AG	11046430	2020-06-29	0.0277	236945923
9	Amundi Pioneer Asset Management	9759595	2020-06-29	0.0245	209343312
