	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	41323292	2020-06-29	0.0732	7574559423
1	Newport Trust Co	34302591	2020-06-29	0.0608	6287664930
2	Blackrock Inc.	32703462	2020-06-29	0.0579	5994544584
3	State Street Corporation	26678836	2020-06-29	0.0473	4890230638
4	Loomis Sayles & Company, LP	9389445	2020-06-29	0.0166	1721085268
5	Capital World Investors	8342430	2020-06-29	0.0148	1529167419
6	Geode Capital Management, LLC	7597137	2020-06-29	0.013500000000000002	1392555212
7	Price (T.Rowe) Associates Inc	6154570	2020-06-29	0.0109	1128132681
8	Northern Trust Corporation	5506070	2020-06-29	0.0098	1009262631
9	Bank of America Corporation	5134135	2020-06-29	0.0091	941086945
