	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	456893858	2020-06-29	0.08220000000000001	14940429156
1	Blackrock Inc.	427534404	2020-06-29	0.07690000000000001	13980375010
2	State Street Corporation	298902327	2020-06-29	0.0538	9774106092
3	Wellington Management Company, LLP	250854569	2020-06-29	0.0451	8202944406
4	Capital World Investors	244438509	2020-06-29	0.044000000000000004	7993139244
5	Geode Capital Management, LLC	89143163	2020-06-29	0.016	2914981430
6	Bank of America Corporation	78405626	2020-06-29	0.0141	2563863970
7	Northern Trust Corporation	68734012	2020-06-29	0.0124	2247602192
8	Norges Bank Investment Management	59372776	2019-12-30	0.010700000000000001	2326225363
9	Bank Of New York Mellon Corporation	57111863	2020-06-29	0.0103	1867557920
