	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	-0.98	-0.98
Earnings Low	-1.8	-1.8
Earnings High	0.73	0.73
Revenue Average	17927500000	17927500000
Revenue Low	13767000000	13767000000
Revenue High	22000000000	22000000000
