	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	169653797	2020-06-29	0.075	2573648100
1	Blackrock Inc.	150991478	2020-06-29	0.0667	2290540721
2	State Street Corporation	111882985	2020-06-29	0.049400000000000006	1697264882
3	Bank of America Corporation	64324188	2020-06-29	0.028399999999999998	975797931
4	ClearBridge Investments, LLC	34880437	2020-06-29	0.0154	529136229
5	Geode Capital Management, LLC	28605391	2020-06-29	0.0126	433943781
6	Wellington Management Company, LLP	24708443	2020-06-29	0.0109	374827080
7	Charles Schwab Investment Management, Inc.	23745536	2020-06-29	0.0105	360219781
8	Northern Trust Corporation	23414924	2020-06-29	0.0103	355204397
9	Franklin Resources, Inc.	22086382	2020-06-29	0.0098	335050414
