	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	12464683	2020-09-29	0.0817	7024472104
1	Blackrock Inc.	9667201	2020-09-29	0.0634	5447951123
2	Capital World Investors	6939733	2020-09-29	0.0455	3910886532
3	State Street Corporation	6077222	2020-09-29	0.0398	3424818458
4	Bank of America Corporation	5965113	2020-09-29	0.0391	3361639431
5	Temasek Holdings (Private) Limited	5952380	2020-09-29	0.039	3354463749
6	Wellington Management Company, LLP	5129860	2020-09-29	0.0336	2890932603
7	JP Morgan Chase & Company	3408034	2020-09-29	0.0223	1920597560
8	FMR, LLC	3207979	2020-09-29	0.021	1807856565
9	Capital International Investors	2980643	2020-09-29	0.0195	1679741362
