	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	5659149	2020-06-29	0.0646	71135502
1	FMR, LLC	4966463	2020-06-29	0.0567	62428439
2	Vanguard Group, Inc. (The)	4609230	2020-06-29	0.0526	57938021
3	Venrock Management VI, LLC	2308545	2020-06-29	0.0264	29018410
4	Greenhaven Road Investment Management, L.P.	2200000	2020-06-29	0.025099999999999997	27654000
5	Granahan Investment Management Inc.	2093573	2020-06-29	0.0239	26316212
6	State Street Corporation	2007163	2020-06-29	0.0229	25230038
7	Nuveen Asset Management	1488438	2020-06-29	0.017	18709665
8	Two Sigma Advisers, LP	1381185	2020-06-29	0.0158	17361495
9	Arrowstreet Capital, Limited Partnership	1296837	2020-06-29	0.0148	16301241
