	0	1
Earnings Date	2021-02-17 00:00:00	2021-02-22 00:00:00
Earnings Average	1.32	1.32
Earnings Low	1.3	1.3
Earnings High	1.39	1.39
Revenue Average	1506310000	1506310000
Revenue Low	1500000000	1500000000
Revenue High	1535430000	1535430000
