	Holder	Shares	Date Reported	% Out	Value
0	Yiheng Capital Management, L.P.	6749527	2020-06-29	0.0392	27943041
1	Renaissance Technologies, LLC	3263126	2020-06-29	0.019	13509341
2	Millennium Management LLC	1838171	2020-06-29	0.010700000000000001	7610027
3	Kennedy Capital Management, Inc.	1404930	2020-06-29	0.008199999999999999	5816410
4	Morgan Stanley	1345212	2020-06-29	0.0078000000000000005	5569177
5	State Street Corporation	1046664	2020-06-29	0.0060999999999999995	4333188
6	Susquehanna International Group, LLP	845810	2020-06-29	0.0049	3501653
7	Acadian Asset Management	599081	2020-06-29	0.0034999999999999996	2480195
8	Stifel Financial Corporation	565020	2020-06-29	0.0033	2339182
9	Two Sigma Investments, LP	407917	2020-06-29	0.0024	1688776
