	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	0.35	0.35
Earnings Low	0.27	0.27
Earnings High	0.42	0.42
Revenue Average	486190000	486190000
Revenue Low	443000000	443000000
Revenue High	518000000	518000000
