	Holder	Shares	Date Reported	% Out	Value
0	BAMCO Inc.	3138175	2020-06-29	0.0268	87555082
1	Colony Group Llc	42372	2020-06-29	0.0004	1182178
2	Tanaka Capital Management Inc	17135	2020-06-29	0.0001	478066
3	Pinnacle Holdings, LLC	10035	2020-06-29	0.0001	279976
