	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	124149369	2020-06-29	0.0868	4358884345
1	Vanguard Group, Inc. (The)	113120042	2020-06-29	0.0791	3971644674
2	Capital World Investors	84362490	2020-06-29	0.059000000000000004	2961967023
3	FMR, LLC	67935795	2020-06-29	0.0475	2385225762
4	State Street Corporation	64665487	2020-06-29	0.0452	2270405248
5	Wellington Management Company, LLP	55912837	2020-06-29	0.0391	1963099707
6	Janus Henderson Group PLC	50671073	2020-06-29	0.0354	1779061373
7	Massachusetts Financial Services Co.	43018643	2020-06-29	0.0301	1510384555
8	Primecap Management Company	41681905	2020-06-29	0.0291	1463451684
9	JP Morgan Chase & Company	39525748	2020-06-29	0.0276	1387749012
