	Holder	Shares	Date Reported	% Out	Value
0	Fisher Asset Management, LLC	7659814	2020-09-29	0.0052	396088981
1	UBS Group AG	6010879	2020-09-29	0.0040999999999999995	310822553
2	FMR, LLC	5824694	2020-09-29	0.004	301194926
3	Goldman Sachs Group, Inc.	3718477	2020-09-29	0.0025	192282445
4	Arrowstreet Capital, Limited Partnership	3702715	2020-09-29	0.0025	191467392
5	Bank of America Corporation	3388315	2020-09-29	0.0023	175209768
6	Citigroup Inc.	3180231	2020-09-29	0.0022	164449745
7	Morgan Stanley	2170159	2020-09-29	0.0015	112218921
8	Parametric Portfolio Associates	1790386	2020-09-29	0.0012	92580860
9	Northern Trust Corporation	1492559	2020-09-29	0.001	77180225
