	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	30108121	2020-06-29	0.0983	1508115780
1	FMR, LLC	24456424	2020-06-29	0.07980000000000001	1225022278
2	Blackrock Inc.	20888064	2020-06-29	0.0682	1046283125
3	State Street Corporation	13282272	2020-06-29	0.0433	665309004
4	Capital World Investors	9178853	2020-06-29	0.03	459768746
5	Primecap Management Company	6782511	2020-06-29	0.022099999999999998	339735975
6	Nuveen Asset Management	6481744	2020-06-29	0.0212	324670556
7	Geode Capital Management, LLC	4980140	2020-06-29	0.0163	249455212
8	Lsv Asset Management	4951014	2020-06-29	0.016200000000000003	247996291
9	Hotchkis & Wiley Capital Management, LLC	4403845	2020-06-29	0.0144	220588596
