	0	1
Earnings Date	2020-11-23 00:00:00	2020-11-27 00:00:00
Earnings Average	0.92	0.92
Earnings Low	0.85	0.85
Earnings High	1	1
Revenue Average	1404300000	1404300000
Revenue Low	1386900000	1386900000
Revenue High	1423890000	1423890000
