	Holder	Shares	Date Reported	% Out	Value
0	Renaissance Technologies, LLC	3884908	2020-06-29	0.0433	25523845
1	State Street Corporation	3379611	2020-06-29	0.0377	22204044
2	BNP Paribas Arbitrage, SA	2390282	2020-06-29	0.026600000000000002	15704152
3	Blackrock Inc.	2355408	2020-06-29	0.0262	15475030
4	Parametric Portfolio Associates	2095071	2020-06-29	0.0233	13764616
5	Credit Suisse Ag/	1414384	2020-06-29	0.0158	9292502
6	Morgan Stanley	1395893	2020-06-29	0.015600000000000001	9171017
7	First Trust Advisors LP	1175752	2020-06-29	0.0131	7724690
8	Goldman Sachs Group, Inc.	1059617	2020-06-29	0.0118	6961683
9	Nuveen Asset Management	993483	2020-06-29	0.0111	6527183
