	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	22166308	2020-09-29	0.1588	3310316436
1	Blackrock Inc.	14878940	2020-09-29	0.1066	2222020899
2	State Street Corporation	8468970	2020-09-29	0.060700000000000004	1264755979
3	JP Morgan Chase & Company	6086540	2020-09-29	0.0436	908963883
4	Principal Financial Group, Inc.	5233101	2020-09-29	0.0375	781511303
5	Geode Capital Management, LLC	3023278	2020-09-29	0.0217	451496336
6	Norges Bank Investment Management	2894096	2019-12-30	0.0207	606891931
7	Northern Trust Corporation	2798905	2020-09-29	0.02	417988472
8	D1 Capital Partners, LP	2677200	2020-09-29	0.0192	399813048
9	Viking Global Investors, L.P.	2553481	2020-09-29	0.0183	381336852
