	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	59443975	2020-06-29	0.0956	4108173112
1	Vanguard Group, Inc. (The)	49428510	2020-06-29	0.0795	3416004326
2	State Street Corporation	27248020	2020-06-29	0.0438	1883110662
3	Wellington Management Company, LLP	20647750	2020-06-29	0.0332	1426966002
4	Bank Of New York Mellon Corporation	20345153	2020-06-29	0.0327	1406053523
5	Capital International Investors	16259416	2020-06-29	0.0262	1123688239
6	AllianceBernstein, L.P.	13608430	2020-06-29	0.0219	940478597
7	Sands Capital Management, Inc.	12428210	2020-06-29	0.02	858913593
8	FMR, LLC	12366132	2020-06-29	0.0199	854623382
9	Brown Advisory Inc.	11634305	2020-06-29	0.0187	804046818
