	Holder	Shares	Date Reported	% Out	Value
0	Icahn, Carl, C.	52327391	2020-06-29	0.16920000000000002	665604413
1	Intel Corporation	26065827	2020-06-29	0.0843	331557319
2	Vanguard Group, Inc. (The)	20700028	2020-06-29	0.0669	263304356
3	Blackrock Inc.	17530071	2020-06-29	0.0567	222982503
4	First Trust Advisors LP	14109858	2020-06-29	0.045599999999999995	179477393
5	Invesco Ltd.	9666002	2020-06-29	0.0313	122951545
6	Wellington Management Company, LLP	7238403	2020-06-29	0.023399999999999997	92072486
7	RGM Capital, LLC	6653078	2020-06-29	0.0215	84627152
8	Bank Of New York Mellon Corporation	6345052	2020-06-29	0.020499999999999997	80709061
9	Neuberger Berman Group, LLC	5116591	2020-06-29	0.0165	65083037
