	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	51651119	2020-06-29	0.1257	1116697192
1	Vanguard Group, Inc. (The)	50007618	2020-06-29	0.1217	1081164701
2	Capital Research Global Investors	31196681	2020-06-29	0.0759	674472243
3	State Street Corporation	23315129	2020-06-29	0.0567	504073088
4	FMR, LLC	21723946	2020-06-29	0.0529	469671712
5	Independent Franchise Partners, LLP	19924166	2020-06-29	0.048499999999999995	430760468
6	Bank Of New York Mellon Corporation	12649145	2020-06-29	0.0308	273474514
7	Lsv Asset Management	9923420	2020-06-29	0.0241	214544340
8	Citadel Advisors LLC	8886588	2020-06-29	0.0216	192128032
9	Clarkston Capital Partners LLC	8649120	2020-06-29	0.021	186993974
