	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	9836254	2020-06-29	0.122	226824017
1	Vanguard Group, Inc. (The)	7906147	2020-06-29	0.0981	182315749
2	Blackrock Inc.	5593676	2020-06-29	0.0694	128990168
3	Rare Infrastructure Ltd	5171983	2020-06-29	0.0642	119265927
4	Apollo Management Holdings, L.P.	4921577	2020-06-29	0.0611	113491565
5	Neuberger Berman Group, LLC	4332316	2020-06-29	0.0537	99903206
6	Bank Of New York Mellon Corporation	3842650	2020-06-29	0.04769999999999999	88611509
7	Renaissance Technologies, LLC	3474975	2020-06-29	0.0431	80132923
8	Franklin Resources, Inc.	2539762	2020-06-29	0.0315	58566911
9	Norges Bank Investment Management	1804170	2019-12-30	0.022400000000000003	35993191
