	Holder	Shares	Date Reported	% Out	Value
0	Berkshire Hathaway, Inc	72357453	2020-09-29	0.0817	2484754936
1	Vanguard Group, Inc. (The)	64261540	2020-09-29	0.0725	2206741283
2	Dodge & Cox Inc	62058579	2020-09-29	0.07	2131091602
3	Blackrock Inc.	51815505	2020-09-29	0.058499999999999996	1779344441
4	State Street Corporation	35293395	2020-09-29	0.0398	1211975184
5	Longview Partners (Guernsey) LTD	28664536	2020-09-29	0.0323	984340166
6	First Eagle Investment Management, LLC	18383771	2020-09-29	0.0207	631298696
7	FMR, LLC	18121992	2020-09-29	0.020499999999999997	622309205
8	Macquarie Group Limited	17460187	2020-09-29	0.0197	599582821
9	Artisan Partners Limited Partnership	16527226	2020-09-29	0.0187	567544940
