	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	11519004	2020-06-29	0.0562	5875152800
1	Blackrock Inc.	10755373	2020-06-29	0.0525	5485670444
2	TCI Fund Management Ltd	10444772	2020-06-29	0.051	5327251510
3	Capital International Investors	10325595	2020-06-29	0.0504	5266466473
4	State Street Corporation	6900339	2020-06-29	0.0337	3519448903
5	Dodge & Cox Inc	5276343	2020-06-29	0.0258	2691145983
6	Berkshire Hathaway, Inc	5213461	2020-06-29	0.0254	2659073648
7	Harris Associates L.P.	3077825	2020-06-29	0.015	1569813863
8	Veritas Asset Management LLP	2953059	2020-06-29	0.0144	1506178212
9	JP Morgan Chase & Company	2687625	2020-06-29	0.0131	1370796255
