	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	20292017	2020-06-29	0.0761	315540864
1	Vanguard Group, Inc. (The)	19433710	2020-06-29	0.0729	302194190
2	First Pacific Advisors, LP	18054637	2020-06-29	0.0677	280749605
3	Baillie Gifford and Company	12851317	2020-06-29	0.0482	199837979
4	Barrow, Hanley Mewhinney & Strauss, LLC	9716689	2020-06-29	0.0364	151094513
5	Mason Capital Management, LLC	5657750	2020-06-29	0.0212	87978012
6	State Street Corporation	5516614	2020-06-29	0.0207	85783347
7	Burgundy Asset Management Ltd.	5173186	2020-06-29	0.0194	80443042
8	Smith (Donald) & Company Inc.	3532231	2020-06-29	0.0132	54926192
9	Dimensional Fund Advisors LP	3420195	2020-06-29	0.0128	53184032
