	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	37934811	2020-06-29	0.0859	11502214043
1	Blackrock Inc.	30263234	2020-06-29	0.06849999999999999	9176115181
2	State Street Corporation	18410229	2020-06-29	0.0417	5582165535
3	FMR, LLC	12077579	2020-06-29	0.0274	3662042728
4	Bank of America Corporation	8072620	2020-06-29	0.0183	2447699110
5	Geode Capital Management, LLC	6592733	2020-06-29	0.0149	1998982572
6	Northern Trust Corporation	6084479	2020-06-29	0.0138	1844874877
7	Capital World Investors	5448824	2020-06-29	0.0123	1652137925
8	Capital International Investors	5008518	2020-06-29	0.0113	1518632742
9	Bank Of New York Mellon Corporation	4576378	2020-06-29	0.0104	1387603573
