	0	1
Earnings Date	2020-10-30 00:00:00	2020-11-03 00:00:00
Earnings Average	2.76	2.76
Earnings Low	2.73	2.73
Earnings High	2.87	2.87
Revenue Average	12817500000	12817500000
Revenue Low	12698000000	12698000000
Revenue High	12888000000	12888000000
