	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	9546800	2020-06-29	0.0915	278384688
1	Blackrock Inc.	9089403	2020-06-29	0.08710000000000001	265046991
2	Boston Partners	8831644	2020-06-29	0.08460000000000001	257530739
3	Lsv Asset Management	4764224	2020-06-29	0.045599999999999995	138924771
4	Dimensional Fund Advisors LP	4624628	2020-06-29	0.0443	134854152
5	AllianceBernstein, L.P.	3330090	2020-06-29	0.0319	97105424
6	Citadel Advisors LLC	3153943	2020-06-29	0.0302	91968977
7	Harris Associates L.P.	2902470	2020-06-29	0.0278	84636025
8	State Street Corporation	2671062	2020-06-29	0.0256	77888167
9	FMR, LLC	1770359	2020-06-29	0.017	51623668
