	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	1.4	1.4
Earnings Low	1.31	1.31
Earnings High	1.49	1.49
Revenue Average	667720000	667720000
Revenue Low	654400000	654400000
Revenue High	686300000	686300000
