	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	34716955	2020-06-29	0.0454	155184788
1	Blackrock Inc.	23920294	2020-06-29	0.0313	106923714
2	FIL LTD	15655604	2020-06-29	0.020499999999999997	69980549
3	JP Morgan Chase & Company	14958690	2020-06-29	0.0196	66865344
4	State Street Corporation	11456001	2020-06-29	0.015	51208324
5	Invesco Ltd.	11286947	2020-06-29	0.0148	50452653
6	Dimensional Fund Advisors LP	7443450	2020-06-29	0.0097	33272221
7	Arrowstreet Capital, Limited Partnership	6428257	2020-06-29	0.0084	28734308
8	Contrarius Investment Management Limited	6350655	2020-06-29	0.0083	28387427
9	Geode Capital Management, LLC	4920648	2020-06-29	0.0064	21995296
