Date	Firm	To Grade	From Grade	Action
2016-11-18 13:10:24	Macquarie	Neutral	Outperform	down
2016-11-28 10:41:51	Jefferies	Hold	Buy	down
2016-11-30 19:34:39	Deutsche Bank	Hold		main
2016-12-21 16:12:25	Atlantic Equities	Overweight	Neutral	up
2017-01-10 17:07:03	Standpoint Research	Hold	Buy	down
2017-01-11 13:42:09	UBS	Sell		down
2017-03-03 15:28:02	Evercore ISI Group	In-Line	Buy	down
2017-04-05 13:02:47	Keefe Bruyette & Woods	Outperform	Market Perform	up
2017-06-09 10:05:56	UBS	Neutral	Sell	up
2017-07-11 10:33:02	Oppenheimer	Outperform		main
2017-07-17 14:32:30	Nomura	Buy		main
2017-07-17 16:34:04	Credit Suisse	Outperform		main
2017-07-31 12:47:14	BMO Capital	Market Perform	Outperform	down
2017-09-12 13:03:02	Societe Generale	Hold	Sell	up
2017-10-09 11:54:48	Stifel Nicolaus	Hold	Buy	down
2017-10-11 12:31:35	Bank of America	Neutral	Buy	down
2017-10-13 12:25:58	BMO Capital	Market Perform		main
2017-10-13 14:01:53	Nomura	Buy		main
2017-10-13 15:48:06	Morgan Stanley	Overweight		main
2017-10-16 10:15:58	Societe Generale	Sell	Hold	down
2018-01-17 12:09:00	Keefe Bruyette & Woods	Market Perform	Outperform	down
2018-01-17 20:41:08	Vertical Group	Hold	Buy	down
2018-02-02 14:19:57	Morgan Stanley	Overweight	Overweight	main
2018-02-07 12:40:12	DZ Bank	Buy	Hold	up
2018-03-15 11:54:02	Morgan Stanley	Overweight	Overweight	main
2018-04-05 11:56:01	UBS	Buy	Neutral	up
2018-04-11 12:17:11	HSBC	Buy	Hold	up
2018-04-30 13:20:54	Morgan Stanley	Overweight	Overweight	main
2018-06-20 10:34:28	Deutsche Bank	Buy	Hold	up
2018-07-16 11:26:57	Morgan Stanley	Overweight	Overweight	main
2018-07-16 11:52:31	Oppenheimer	Outperformer	Outperform	main
2018-07-16 12:12:36	BMO Capital	Market Perform	Market Perform	main
2018-09-27 11:27:31	Deutsche Bank	Buy	Buy	main
2018-12-07 15:37:17	Credit Suisse	Outperform	Outperform	main
2018-12-26 13:10:43	Standpoint Research	Buy	Hold	up
