	Holder	Shares	Date Reported	% Out	Value
0	Berkshire Hathaway, Inc	925008600	2020-06-29	0.10679999999999999	21968954250
1	Vanguard Group, Inc. (The)	625514680	2020-06-29	0.0722	14855973650
2	Blackrock Inc.	529833615	2020-06-29	0.061200000000000004	12583548356
3	State Street Corporation	330754010	2020-06-29	0.0382	7855407737
4	Wellington Management Company, LLP	231002573	2020-06-29	0.026699999999999998	5486311108
5	FMR, LLC	205220099	2020-06-29	0.023700000000000002	4873977351
6	Dodge & Cox Inc	133057906	2020-06-29	0.0154	3160125267
7	JP Morgan Chase & Company	122578243	2020-06-29	0.0141	2911233271
8	Geode Capital Management, LLC	114962776	2020-06-29	0.013300000000000001	2730365930
9	Norges Bank Investment Management	97731165	2019-12-30	0.0113	3442091631
