Date	Dividends	Stock Splits
2012-03-15	0.15	0.0
2012-05-03	0.15	0.0
2012-08-02	0.15	0.0
2012-11-01	0.15	0.0
2013-02-07	0.19	0.0
2013-05-23	0.19	0.0
2013-08-22	0.19	0.0
2013-11-14	0.19	0.0
2014-03-06	0.23	0.0
2014-05-22	0.23	0.0
2014-05-23	0.23	0.0
2014-08-21	0.23	0.0
2014-11-20	0.23	0.0
2015-03-05	0.265	0.0
2015-06-05	0.265	0.0
2015-08-20	0.265	0.0
2015-11-19	0.265	0.0
2016-03-03	0.3	0.0
2016-05-26	0.3	0.0
2016-08-18	0.3	0.0
2016-11-17	0.3	0.0
2017-03-09	0.323	0.0
2017-06-01	0.323	0.0
2017-08-24	0.323	0.0
2017-11-24	0.323	0.0
2018-03-09	0.348	0.0
2018-05-25	0.348	0.0
2018-08-24	0.348	0.0
2018-11-23	0.348	0.0
2019-03-08	0.375	0.0
2019-05-31	0.375	0.0
2019-08-30	0.375	0.0
2019-11-29	0.375	0.0
2020-03-06	0.403	0.0
2020-08-31	0.403	0.0
