	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Total Stock Market Index Fund	12280907	2019-06-29	0.0277	771855004
1	Income Fund of America Inc	10417251	2019-09-29	0.0235	716706868
2	Vanguard 500 Index Fund	8731497	2019-06-29	0.0197	548774586
3	Washington Mutual Investors Fund	5319409	2019-09-29	0.012	365975339
4	SPDR S&P 500 ETF Trust	4738191	2019-08-30	0.010700000000000001	291446128
5	JP Morgan Mid Cap Value Fund	4235405	2019-08-30	0.0095	260519761
6	Vanguard Institutional Index Fund-Institutional Index Fund	4144002	2019-06-29	0.009300000000000001	260450525
7	American Mutual Fund Inc	4025300	2019-09-29	0.0091	276940640
8	Fundamental Investors Inc	3698500	2019-09-29	0.0083	254456800
9	Fidelity 500 Index Fund	3676493	2019-08-30	0.0083	226141084
