	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	35106253	Sep 29, 2019	7.91%	2415310206
1	Blackrock Inc.	33942730	Sep 29, 2019	7.64%	2335259824
2	FMR, LLC	20617724	Sep 29, 2019	4.64%	1418499411
3	State Street Corporation	20323244	Sep 29, 2019	4.58%	1398239187
4	Capital International Investors	20012223	Sep 29, 2019	4.51%	1376840942
5	JP Morgan Chase & Company	14350560	Sep 29, 2019	3.23%	987318528
6	Capital World Investors	13214237	Sep 29, 2019	2.98%	909139505
7	Goldman Sachs Group, Inc.	8158670	Sep 29, 2019	1.84%	561316496
8	Boston Partners	7440091	Sep 29, 2019	1.68%	511878260
9	UBS Group AG	7316359	Sep 29, 2019	1.65%	503365499
