	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	12543387	2020-09-29	0.046	1587867360
1	Renaissance Technologies, LLC	10545158	2020-09-29	0.0387	1334911551
2	Vanguard Group, Inc. (The)	9597569	2020-09-29	0.0352	1214956259
3	Primecap Management Company	9373635	2020-09-29	0.0344	1186608454
4	Artisan Partners Limited Partnership	8434447	2020-09-29	0.030899999999999997	1067716645
5	State Street Corporation	6016421	2020-09-29	0.022099999999999998	761618734
6	Price (T.Rowe) Associates Inc	5250034	2020-09-29	0.019299999999999998	664601804
7	Dodge & Cox Inc	4728921	2020-09-29	0.0173	598634109
8	Causeway Capital Management LLC	4051280	2020-09-29	0.0149	512851535
9	Baillie Gifford and Company	3947668	2020-09-29	0.014499999999999999	499735292
