	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	15773609	2020-09-29	0.11289999999999999	720853931
1	Vanguard Group, Inc. (The)	12887627	2020-09-29	0.09230000000000001	588964553
2	Blackrock Inc.	9091426	2020-09-29	0.06509999999999999	415478168
3	Ubs Asset Management Americas Inc	4026599	2020-09-29	0.0288	184015574
4	CONTINENTAL GRAIN COMPANY	3931155	2020-09-29	0.0281	179653783
5	State Street Corporation	3689743	2020-09-29	0.0264	168621255
6	Dimensional Fund Advisors LP	3161591	2020-09-29	0.0226	144484708
7	Moore Capital Management, LP	2917281	2020-09-29	0.0209	133319741
8	Adage Capital Partners GP L.L.C.	2898502	2020-09-29	0.0208	132461541
9	Millennium Management LLC	1986061	2020-09-29	0.014199999999999999	90762987
